"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSMUSG00000102693.2.4933401J01Rik"
"11760",767.373810175656,-0.305473831194393,0.164353606865131,-1.85863782986561,0.0630784911529889,0.122825500765106,"ENSMUSG00000065451.3	Mir101a"
"11761",1184.50734211364,0.770187701333996,0.13798460036497,5.58169316935982,2.38188310895206e-08,1.5157848692212e-07,"ENSMUSG00000087361.8	0610043K17Rik"
"11762",245.205183851467,0.90436370300117,0.204239242511308,4.42796248106482,9.51274433947413e-06,4.25877465424816e-05,"ENSMUSG00000083614.2	Gm12795"
"11763",351.492388960769,-0.373438021857673,0.190283795079656,-1.96253192081515,0.0497005880114711,0.100179311750439,"ENSMUSG00000084758.2	Gm12798"
"11764",5.84349940165603,1.75589981861172,1.24110133797554,1.41479165712279,0.157129590953889,0.259843147501133,"ENSMUSG00000028527.19	Ak4"
"11765",7.33479808363577,-0.530587118813489,1.01911221704422,-0.520636599129756,0.602619948494452,0.71867976937256,"ENSMUSG00000028528.18	Dnajc6"
"11766",244.463634432587,0.786292539709403,0.22012210667731,3.57207438897574,0.000354164771823632,0.0012161953014005,"ENSMUSG00000120834.1	Gm36012"
"11767",85.228224842984,1.89442089456006,0.376076885154094,5.03732340205872,4.72086774403183e-07,2.5678520235452e-06,"ENSMUSG00002075496.1	Gm55970"
"11768",610.900934718265,0.834764432489681,0.17199915021514,4.85330556253064,1.21420385004855e-06,6.21742050810881e-06,"ENSMUSG00000035212.15	Leprot"
"11769",303.396808984952,0.253123641766387,0.207208208093441,1.2215908051878,0.221862407489646,0.340569352638983,"ENSMUSG00000057722.18	Lepr"
"11770",1492.86641370724,-0.301491515758362,0.163266308685062,-1.84662419446216,0.0648016251576058,0.125626633770812,"ENSMUSG00000035201.17	Pramel17"
"11771",366.234238006966,-0.338396524725394,0.183789126391956,-1.84122168361427,0.0655890790029422,0.126857959292048,"ENSMUSG00000081121.2	Gm12791"
"11772",884.797058172354,-0.230422772898948,0.197308149649817,-1.16783200951356,0.242874533702534,0.365860300184986,"ENSMUSG00000081045.2	Gm12797"
"11773",136.111523639195,-0.329333547754547,0.267249105065843,-1.2323092632,0.217833580852222,0.335921889942638,"ENSMUSG00000046133.5	C130073F10Rik"
"11774",10.6291594005842,-0.157949809215784,0.805180834255625,-0.196166876428207,0.844479553111153,0.900066364028184,"ENSMUSG00000084208.2	Gm12792"
"11775",709.856460814837,-1.08562264984096,0.157113199420739,-6.90981186713495,4.85296864034174e-12,4.62811534631795e-11,"ENSMUSG00000037028.9	Pramel18"
"11776",19.7355104625746,0.575195660758899,0.635106447144643,0.905668118068877,0.365111542295056,0.499938463962089,"ENSMUSG00000070890.5	Pramel19"
"11777",259.471187600447,0.202064971350666,0.208920140240648,0.967187611103049,0.333450254316262,0.466641195975247,"ENSMUSG00000078626.3	Gm12790"
"11778",5339.06435918393,0.167903795678352,0.117195366723723,1.43268288134777,0.151948483825615,0.253057282536186,"ENSMUSG00000078625.12	Gm12789"
"11779",424.984036067209,0.433138953785147,0.17133513736345,2.52802174994809,0.0114707245642971,0.0280620394583761,"ENSMUSG00000082264.2	Gm12799"
"11780",702.08475746157,1.4909307248514,0.161122517371189,9.25339765773796,2.17467590531413e-20,3.93105477496169e-19,"ENSMUSG00000028525.17	Pde4b"
"11781",334.820263182069,-0.00805605013601835,0.202522325846315,-0.0397785780029591,0.968269654988667,0.980959262135215,"ENSMUSG00000077260.3	Gm24869"
"11782",192.69727873853,0.194684201915206,0.227318598249032,0.85643763165355,0.391755756896772,0.526245586222728,"ENSMUSG00000028524.22	Sgip1"
"11783",154.063689554677,3.94832574912219,0.393937264786126,10.0227272260364,1.21113955081823e-23,2.7984663863603e-22,"ENSMUSG00000085181.2	Gm12709"
"11784",442.017988279273,0.89899297045072,0.176212044829635,5.10176799389556,3.36495101548794e-07,1.86048296917634e-06,"ENSMUSG00000028523.15	Dynlt5"
"11785",446.942363196282,0.508597950252895,0.166208847630744,3.059993240449,0.00221341987022494,0.00648221339438257,"ENSMUSG00000085041.3	BB031773"
"11786",807.278370702046,0.997819297391894,0.168979380687784,5.90497665058627,3.52696700133685e-09,2.47862888342797e-08,"ENSMUSG00000066090.6	Insl5"
"11787",105.310739362999,2.12136109020775,0.382966459195107,5.53928689908325,3.03705753951353e-08,1.91026022592199e-07,"ENSMUSG00000035126.20	Dnai4"
"11788",3.24461840117681,0.406882979894211,1.48898899602156,0.273261240332443,0.784652407564524,NA,"ENSMUSG00000080744.2	Gm12710"
"11789",623.864958901287,-0.0509999353950929,0.164340633958567,-0.310330647793113,0.756309527236444,0.838497057022577,"ENSMUSG00000028522.17	Mier1"
"11790",2.60116978833029,-0.90344709604103,1.58295234551517,-0.570735498513701,0.568178951834014,NA,"ENSMUSG00000028521.18	Slc35d1"
"11791",475.293514848794,-0.159629134550412,0.163428238298161,-0.976753688424288,0.328691108542982,0.461565763729941,"ENSMUSG00000107726.2	Gm44037"
"11792",191.365524495766,0.00349304360182742,0.223176620855561,0.0156514763438779,0.987512438517172,0.993838703325415,"ENSMUSG00000028520.13	4921539E11Rik"
"11793",26.6970174352866,-1.20255103426073,0.566434280754761,-2.12301951897819,0.0337522162560553,0.0720164624389884,"ENSMUSG00000078618.4	4930456L15Rik"
"11794",42.1888247709049,0.783499389263315,0.451498160217952,1.73533240730172,0.0826819447943826,0.153700091303831,"ENSMUSG00000035069.4	Oma1"
"11795",6199.70339245332,-1.69667856592059,0.124625316925281,-13.6142367199582,3.29570923523526e-42,1.91963619517609e-40,"ENSMUSG00000086136.2	Gm12718"
"11796",36.2797266611194,0.560735602359598,0.483495966698296,1.15975238881258,0.246149633687623,0.369565927245134,"ENSMUSG00002076094.1	Gm56006"
"11797",2961.92436531197,0.701965717474316,0.138191545467201,5.07965747905267,3.78115977165557e-07,2.08305271492684e-06,"ENSMUSG00000087482.2	Gm12720"
"11798",9.48318415638716,2.05655102164866,1.0111632902709,2.03384660166776,0.0419670642458506,0.0867205595866153,"ENSMUSG00000081584.2	Gm12716"
"11799",1398.95929664919,-0.735027891155839,0.130567594277896,-5.62948176552467,1.80751879250799e-08,1.16979659507413e-07,"ENSMUSG00000059195.11	Gm12715"
"11800",1526.843801112,-1.14583945345991,0.135025468202795,-8.48609872427156,2.136899216695e-17,3.14167259947929e-16,"ENSMUSG00002075410.1	Gm56007"
"11801",1572.74998384884,-1.16377204061638,0.127129121294604,-9.15425221825847,5.47355713639342e-20,9.57444431313865e-19,"ENSMUSG00000077514.3	Gm25877"
"11802",93.4709454306634,1.50965679541851,0.34978838644542,4.31591457555172,1.58943441584871e-05,6.89494758879287e-05,"ENSMUSG00000028519.17	Dab1"
"11803",2999.07106464035,-0.377519120897776,0.137256234418793,-2.75046975094696,0.0059509885671138,0.015698668534885,"ENSMUSG00000080913.2	Gm12719"
"11804",3.02793261067119,-1.28587543178197,1.58522137821808,-0.811164578935592,0.417271163958103,NA,"ENSMUSG00000081696.3	Gm12717"
"11805",35.0839648359333,-0.521275417936123,0.487128759685075,-1.07009780796585,0.284575285706662,0.413562368338323,"ENSMUSG00000029656.14	C8b"
"11806",6.87815896355166,0.605534111333827,1.09395459478622,0.553527645680906,0.579902155482393,0.700349795408001,"ENSMUSG00000035031.16	C8a"
"11807",205.506818400677,-0.298352651665314,0.227670410557797,-1.31045861837884,0.190040734565618,0.302195860148268,"ENSMUSG00000078612.10	Fyb2"
"11808",3018.74399964857,-0.153501248981355,0.135876742329988,-1.12970951723706,0.258598645611667,0.3836554594619,"ENSMUSG00000083791.2	Gm12721"
"11809",7.36913538447741,1.05896790102892,1.06210304950986,0.997048169212601,0.318741129493143,0.451213708628479,"ENSMUSG00000028518.9	Prkaa2"
"11810",408.384476703059,0.547801858169494,0.18590754079052,2.94663603122347,0.00321251084228243,0.00906778889101257,"ENSMUSG00000028517.9	Plpp3"
"11811",139.228386304913,0.533390146533803,0.261400859034563,2.0405064792204,0.0412999063666465,0.0855632863159806,"ENSMUSG00000081819.2	Gm12722"
